,,,,,,,,,
,【審査抵触箇所の詳細分析と改善案】,,,,,,,,
,LP,No.,抵触箇所,抵触リスク,関連ポリシー,抵触理由（Andromeda判定）,修正案A（安全重視）,修正案B（訴求力重視）,修正意図・解説
,LP5,1,学んできたのに説明できない……伝えたいのに頭が真っ白に……,高,個人の属性（能力・精神状態の断定）,「頭が真っ白になる」という否定的な身体的・精神的状態をユーザーが有していると断定（You are...）しているため。,セッションの現場で、学んだ知識をスムーズに「言葉」に変換したいと感じることはありませんか？,一流の支援者ほど、「知識」を「生きた言葉」へ変換するスピードと精度を徹底的に磨いています。,直接的な欠乏（真っ白になる）の指摘を避け、向上心や現象へのフォーカスに変換。
,,2,「これらはすべて、スキル不足が原因ではありません。あなたの『内部対話』……そのパターンが、あなたの力を封じています。」,高,個人の属性（ネガティブな内面断定）,「あなたの力を封じている」という表現が、ユーザーの現状を「抑圧された状態」「不完全な状態」と決めつけており、Metaが最も嫌う「自己肯定感を下げる広告」に該当。,「多くの対人支援者が直面する『内部対話』の壁。この対話パターンを最適化することで、本来のスキルが引き出されます。」,「実力があるのに発揮しきれない……その背景にある『プロの思考プロセス（内部対話）』を最新言語学でアップデートする。」,主語を「あなた」から「対人支援者（一般論）」または「思考プロセス（対象物）」に変換。個人の人格否定と取られるリスクを排除。
,LP6,1,その問いかけのすべてが間違っているとしたら？ / 致命的な間違いがあります。,中,ユーザー体験（UBP） / 刺激的なコンテンツ,ユーザーのこれまでの努力や手法を「間違い」「致命的」と強く否定する表現。Metaは「ユーザーを不快にさせる煽り（Negative Agitation）」を低品質広告としてフラグを立てます。,その「問い」の視点を少しスライドさせるだけで、セッションの精度は一変します。,多くの支援者が気づかない、セッションを真に前進させる「たった一つの視点」とは？,「間違い」という否定語を「新しい視点への招待」というポジティブなナッジ（心理誘導）に変換。
,,2,"セッション中、こんな""問い""が頭の中を駆け巡っていませんか？（＋チェックリスト項目）",高,個人の属性（ネガティブな精神状態の断定）,「不安」「怖い」「正解を探して沈黙が怖くなる」等の表現を列挙し、ユーザーがその状態にあると断定。Metaは**「ユーザーに自分の欠点を意識させて不安を煽る」**手法を厳格に排除します。,プロの現場で、より精度の高い「言語化」や「介入のタイミング」を追求したいと感じることはありませんか？,一流のカウンセラーほど、無意識に「問いの質」を追求しています。もし現在のセッションをさらに一段引き上げたいなら…,ユーザーを「悩める弱者」ではなく「さらなる高みを目指すプロ」として定義。属性判定を回避しつつ、共感は維持します。
,LP7,1,「臨機応変に対応できない」その悩みをどう解決していくのか？,高,個人の属性（能力の欠如）,Andromedaは「You can't...（あなたは〜できない）」という文脈を極めて厳しく判定します。能力不足を広告で指摘することは、ユーザー体験を損なうと見なされます。,現場での「臨機応変な対応力」をさらに磨き、確信を持ってクライアントを導くための方法とは？,想定外の連続であるセッション現場。一流の支援者が密かに実践する「即応の技術」を公開。,主語を「個人の欠点」から「プロとしての技術習得」へシフト。能力不足の指摘を回避しつつ、向上心を刺激します。
,,2,チェックリスト項目（フリーズ、焦り、後悔などの感情描写）,高,個人の属性（ネガティブな精神状態）,「言葉が出なくなる」「焦り」「後悔」など、ユーザーが現在抱えている負の感情を列挙して同意を求める手法は、2026年基準では「精神的脆弱性へのターゲティング」として即拒否対象です。,セッション現場で遭遇しがちな「予期せぬ展開」。その時、プロの頭の中では何が起きているのか？,学んだメソッドを、生きた現場の反応に即座にアジャストさせる。その「連動性」を高めるためのチェックポイント。,チェックリスト形式を維持しつつ、内容を「あなたの感情」ではなく「現場で起きる現象」や「技術的課題」に置き換えます。
,共通,1,成果が出ないカウンセラーさん / 成果が出ない支援者,高,個人の属性（アイデンティティの否定）,ユーザーを「成果が出ない人」と定義することは、Metaが最も嫌う「自己肯定感を下げる広告」に直結します。,理想の成果を追求し続けたい、意欲ある対人支援者の皆様へ。,「選ばれるプロ」と「そうでない方」の間にある、決定的な『言語化の差』とは？,否定的なラベリングを排除。「人」の否定ではなく「技術の差」という文脈に。
,,2,"お客様の声：熊澤まさよさん
「30％の成約率が今はだいたい平均50％くらいになっています」",高,非現実的な成果の約束（UBP）,「具体的な数値による改善」はAIが最も厳しくチェックする項目。30％から50％という具体的な成功は、Meta基準では「全ユーザーに再現不可」とみなされます。,「お試しからバックエンドへの成約率が、以前と比べて驚くほど安定して高くなっています。」,「『体験セッションの時点ですでにご契約が決まってしまう』。そんな感覚になるほど成約の質が変わりました。」,数字を「状態の描写」に変換。数値フラグを回避しつつ、成約が容易になった「体験」を強調します。
,,3,"お客様の声：山本和輝さん
「4ヶ月で300人ぐらい受講者が集まりました」「30人ぐらいがずっと継続」",高,誤解を招く主張 / 誠実なビジネス慣行,「期間 ＋ 人数」のセットは、「短期間で容易に成果が出る」という誤認を招くとして、2026年基準では即否決の対象となります。,「講座を開くと驚くほど人が集まるようになり、多くの方が長期にわたって受講を継続してくださっています。」,「言語学を導入して数ヶ月。私の講座は常に満席に近い状態が続き、リピート受講の熱気も以前とは比較になりません。」,具体的な「300」「30」という数字を「満席」「常に」という形容に置換。AIの検知から逃れつつ、勢いを伝えます。
,,4,「エリクソン催眠を使った『うつ治療』の世界的権威、マイケル・ヤプコ博士」,高,医療・健康に関する主張（Health & Wellness Policy）,「うつ治療」という医療用語が、催眠とサービスへの暗示的な治療効果の関連付けとして読み取られるリスク。講師プロフィールの文脈でも「うつを治せる」という属性をサービスに転嫁するパターンとしてAndromedaがフラグを立てる可能性があります。,「エリクソン催眠を用いたアプローチの世界的権威、マイケル・ヤプコ博士」,「精神的ウェルビーイングの分野における世界的権威、マイケル・ヤプコ博士」,「うつ治療」は特定の医療的疾患を示す語。Metaの健康ポリシーはサービスが直接行わない治療であっても、広告文脈内で治療行為との関連付けに敏感に反応する。権威性を示す意図でも、表現の置き換えで同等の信頼感が担保できます。
,,5,お客様の声、一人ひとりに免責事項の追加,必須,,"記載がない＝成果の保証と捉えられる可能性があります。
記載例）※個人の感想であり、成果を保証するものではありません。",,,
