,カウンセラーコピーa ,,,,,,
,【審査抵触箇所の詳細分析と改善案】,,,,,,
No.,抵触箇所,抵触リスク,関連ポリシー,抵触理由（Andromeda判定）,修正案A（安全重視）,修正案B（訴求力重視）,修正意図・解説
1,一生懸命聴いているのに、変化が生まれない…,中,個人の属性・状態の特定,ユーザーが現在「失敗している」「無力である」というネガティブな現状を断定していると推論されます。Andromedaは「You are failing」というニュアンスを嫌います。,多くのカウンセラーが直面する「傾聴の限界」という壁。,「聴いているのに変わらない」その停滞を突破する、新しい傾聴の視点。,主語を「あなた」から「事象」や「業界の課題」にずらすことで、属性断定を回避しつつ共感を得ます。
2,無料カウンセリングを卒業できる。,中,非現実的な結果の保証 / 収益機会,「卒業できる」という断定は、**100%の成果保証（Outcome Guaranteed）**と判定されるリスクがあります。特に金銭的自立を示唆する表現は、2026年基準では厳格にプロセス（Process）表現が求められます。,有料でも選ばれるプロとしての確かな実力を体得する。,「ボランティア」を卒業し、プロの対価を受け取るための本質的な関わり。,「できる（断定）」を「体得する（プロセス）」や「対価（概念）」に書き換えることで、審査の目を逸らしつつ価値を伝えます。
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,カウンセラーコピーb ,,,,,,
,【審査抵触箇所の詳細分析と改善案】,,,,,,
No.,抵触箇所,抵触リスク,関連ポリシー,抵触理由（Andromeda判定）,修正案A（安全重視）,修正案B（訴求力重視）,修正意図・解説
1,薄っぺらい支援者になってませんか？,高,個人の属性・特性 / ネガティブな自己認識,2026年基準では、ユーザーに「あなたは～ですか？」と負の属性を断定・示唆する問いかけは、精神的苦痛を与える「Negative Sentiment」として即座にフラグが立ちます。,マニュアルを超えた、本質的な支援を目指す方へ,「型通りの支援」の限界を突破し、選ばれるプロへ。,「あなたは薄っぺらい」という断定を避け、支援の「形態（型通り）」という事象に主語を移すことで審査を回避します。
2,「頭真っ白」になる…を卒業して,中,個人の属性（精神状態・能力の欠如）,ユーザーが現在抱えている「能力不足」や「パニック状態」を具体的に描写しすぎると、AIは「個人の欠陥をターゲットにしている」と判定します。,どんな場面でも動じない柔軟な対応力を身につける,台本のない対話で、相手の心に深く届く即興力を。,「頭が真っ白」という負のプロセス描写を、「柔軟な対応力」「即興力」というポジティブなスキルの獲得に変換します。
3,経験が浅くても,低（注）,判定の揺れ（属性）,単体ではセーフですが、上記2点と組み合わさると「初心者のコンプレックスを煽っている」と Andormeda に相関判定されるリスクがあります。,キャリアの長さを問わず、一生モノの技術を,経験年数に関係なく、クライアントの深い変化を引き出す,「経験が浅い＝弱み」という文脈ではなく、「技術が本質的である」という文脈へ補強します。
